bin_left,bin_right,count
429.0,439.15,3
439.15,449.3,3
449.3,459.45,1
459.45,469.6,2
469.6,479.75,3
479.75,489.9,7
489.9,500.05,10
500.05,510.2,2
510.2,520.35,7
520.35,530.5,8
530.5,540.65,27
540.65,550.8,36
550.8,560.95,88
560.95,571.1,220
571.1,581.25,558
581.25,591.4,1426
591.4,601.55,3733
601.55,611.7,10918
611.7,621.85,36776
621.85,632.0,66172
