label,epoch,train_recon,train_l1,val_recon,val_l1,lr
A,1,0.052351346695864644,0.2136819232304891,0.017150018990039824,0.3513265890280406,0.0003902113032590305
A,2,0.010331489606725948,0.4077019694911109,0.006930018360416094,0.451519403219223,0.0003618033988749892
A,3,0.00499842266227912,0.4567552288196705,0.003989928670227527,0.47101814770698547,0.00031755705045849464
A,4,0.003112661524158385,0.46532378746845104,0.0026966894157230852,0.47261857930819196,0.0002618033988749897
A,5,0.002219454634451756,0.464252613235403,0.002041255392755071,0.46810946424802147,0.00020000000000000023
A,6,0.001742500682844332,0.4601486080752479,0.0016758016829068463,0.46367732421557106,0.0001381966011250108
A,7,0.0014736403778402342,0.4564445229106479,0.001469268312988182,0.4608029588063558,8.244294954150553e-05
A,8,0.0013270409012696258,0.4539837574340679,0.0013644571853801608,0.4589602774779002,3.819660112501062e-05
A,9,0.0012571526858265753,0.45273022023836773,0.0013215247330566247,0.45802735646565756,9.788696740969297e-06
A,10,0.00123488331762039,0.4522850070617817,0.0013143015513196587,0.4578679877916972,0.0
