bin_left,bin_right,count
330.0,345.15,2
345.15,360.3,5
360.3,375.45,17
375.45,390.6,37
390.6,405.75,70
405.75,420.9,137
420.9,436.05,250
436.05,451.2,410
451.2,466.34998,673
466.34998,481.5,1149
481.5,496.65,2022
496.65,511.8,3524
511.8,526.95,6148
526.95,542.1,11071
542.1,557.25,16161
557.25,572.4,23327
572.4,587.55,26270
587.55,602.69995,21191
602.69995,617.85,7132
617.85,633.0,404
