train,eval,mse,r2,avg_l0,avg_l1
A,A,0.0012408643960952759,0.9911183718291346,619.64794921875,347.7597351074219
A,B,0.005194815341383219,0.9681407032632876,589.1576538085938,283.3492431640625
B,A,0.024533027783036232,0.8244020608858633,563.657470703125,233.52577209472656
B,B,0.01094026118516922,0.9329044432631104,595.795654296875,295.34539794921875
