bin_left,bin_right,count
392.0,404.2,1
404.2,416.4,1
416.4,428.6,2
428.6,440.8,0
440.8,453.0,5
453.0,465.2,8
465.2,477.4,10
477.4,489.6,19
489.6,501.8,31
501.8,514.0,56
514.0,526.2,130
526.2,538.4,285
538.4,550.6,767
550.6,562.8,838
562.8,575.0,1623
575.0,587.2,3280
587.2,599.4,5811
599.4,611.6,8789
611.6,623.8,5589
623.8,636.0,403
