feature,activity,frequency,mean_activation,specificity,coherence,genericity,entity_ratio,diversity,keywords,activity_n,specificity_n,coherence_n,entity_ratio_n,diversity_n,genericity_n,freq_peak,freq_peak_n,brain_surgery_score,rank
725,0.014844825405254959,0.13765,0.10784471780061722,0.86235,0.11515678845361688,0.26676384839650147,0.3469767441860465,1.0,"blackie, book, flower, fairies, rhymes",0.025866166586402124,0.7491896998224669,0.8485767340073604,1.0,0.0,0.003551622068702175,0.7123863067970082,0.7124409083248768,0.7541802960990596,1
545,0.0010079720447460812,0.032733333333333337,0.0307934433221817,0.9672666666666667,0.1021438867328125,0.27005649717514124,0.20047169811320756,1.0,"album, townsend, released, band, slayer",0.001375793673444849,0.9542485789207943,0.7502711999781895,0.5150054890702567,0.0,0.018918496060853697,0.7961455623115311,0.7962065839312614,0.6624982385109109,2
361,0.0008253392435920735,0.030883333333333332,0.026724422350525856,0.9691166666666666,0.0871511004623281,0.28101644245142005,0.24394618834080717,1.0,"blackie, book, fairies, flower, old",0.0010525449340193754,0.9578643907682786,0.6370086938494577,0.658924689746605,0.0,0.07006883408476791,0.7817908295927333,0.7818507509316392,0.6549601486436454,3
1889,0.00026249581645242874,0.014625,0.01794843189418316,0.985375,0.13520099143837183,0.29043683589138136,0.14470493128536782,1.0,"townsend, project, album, devin, released",5.634695004725544e-05,0.9896411876801798,1.0,0.33039358300420746,0.0,0.11403404528114065,0.646545768974461,0.6465953238683971,0.6022804524908021,4
64,0.0008187701672315598,0.027725,0.02953183650970459,0.972275,0.06671446170998052,0.3076923076923077,0.2017900732302685,1.0,"all, star, season, jordan, game",0.0010409180759779488,0.9640373308142092,0.48262078487917526,0.5193698759105777,0.0,0.1945657626510997,0.7566575909918627,0.7567155858845556,0.5405672470823688,5
1875,0.004437762542068959,0.0646,0.06869601458311081,0.9354,0.07137016836551213,0.322360953461975,0.16233766233766234,1.0,"townsend, album, madero, orozco, project",0.0074463102933929924,0.8919654054758377,0.5177921662416797,0.3887654821455621,0.0,0.26302469839920695,0.9760904721403703,0.9761652864191213,0.5333594551329698,6
805,0.0003296577635221184,0.017725,0.018598463386297226,0.982275,0.045179501972588354,0.29733333333333334,0.22304526748971193,1.0,"got, way, blackie, there, album",0.0001752194340175926,0.9835822597195304,0.319935646490981,0.5897336812599867,0.0,0.1462201708907636,0.6731869468006543,0.6732385437233536,0.5253221435063754,7
1476,0.00543456794321537,0.08649166666666666,0.06283342838287354,0.9135083333333334,0.01811000237584781,0.28188775510204084,0.17261410788381742,1.0,"barker, blackie, born, mary, caves",0.009210594076684295,0.8491782986139389,0.11544001047879152,0.4227849225358657,0.0,0.07413527196199227,0.9957090553690143,0.9957853733992702,0.5243820688386381,8
1834,0.00044557035143176716,0.022991666666666667,0.019379645586013794,0.9770083333333334,0.08934984621900921,0.30160550458715596,0.13240954580446498,1.0,"jordan, barker, game, season, games",0.0003803775309672333,0.973288597162728,0.6536190456712456,0.2896905858866995,0.0,0.16615850071089852,0.71775459496005,0.7178096079636765,0.5192152150398645,9
1085,0.0006083589736061792,0.024591666666666668,0.02473841980099678,0.9754083333333333,0.019695025942781164,0.29965556831228474,0.24572317262830481,1.0,"award, fey, won, emmy, globe",0.0006685033034363025,0.9701614085378765,0.12741401839334396,0.6648072695521926,0.0,0.15705809947070004,0.7310497116072013,0.731105743672777,0.5137235548687724,10
