feature,alpha,gate_quantile,strength,delta_contrast_mean,delta_contrast_std,n_pairs
64,2.0,0.9,1.5,0.05194346110026042,0.24639835417647418,40
64,1.5,0.9,1.5,0.00012156168619790187,0.01671287898801325,40
64,1.0,0.9,1.5,0.0,0.0,40
64,0.5,0.9,1.5,0.005073038736979197,0.026391693521807844,40
64,0.25,0.9,1.5,0.0430704752604167,0.18049208069553313,40
64,0.0,0.9,1.5,0.04873555501302085,0.19995836320289642,40
