category,feature,is_target,alpha,condition,split,mean_delta,ci_lo,ci_hi
code,6631,1,0.0,wrong_hook,holdout,0.0,0.0,0.0
code,6631,1,1.5,target,train,0.04983775317668915,-0.043476625904440874,0.14361705482006065
code,6631,1,1.5,target,holdout,0.028769060969352722,-0.030433387961238623,0.08746275957673788
code,6631,1,1.5,wrong_layer,train,0.004669502377510071,-0.06725847814232111,0.07884194627404213
code,6631,1,1.5,wrong_layer,holdout,-0.003967513795942068,-0.06934171225875616,0.06964460127055641
code,6631,1,1.5,wrong_hook,train,0.0,0.0,0.0
code,6631,1,1.5,wrong_hook,holdout,0.0,0.0,0.0
code,743,0,0.0,target,train,0.41522911190986633,0.2628217287361622,0.5764555901288985
code,743,0,0.0,target,holdout,0.3509361743927002,0.09060927852988243,0.6037610858678817
code,743,0,0.0,wrong_layer,train,0.23871706426143646,0.12841313220560552,0.36073530241847035
code,743,0,0.0,wrong_layer,holdout,0.1486445516347885,0.0336565300822258,0.2806549787521362
code,743,0,0.0,wrong_hook,train,0.07072705030441284,-0.18679782040417195,0.30211871191859246
code,743,0,0.0,wrong_hook,holdout,0.014000003226101398,-0.21154131814837454,0.23823001682758332
code,743,0,1.5,target,train,-0.09496168047189713,-0.15489605888724328,-0.04643140062689782
code,743,0,1.5,target,holdout,-0.14771409332752228,-0.23396676406264305,-0.07000840976834297
code,743,0,1.5,wrong_layer,train,-0.06507810205221176,-0.157705482468009,0.027692503109574308
code,743,0,1.5,wrong_layer,holdout,-0.12505540251731873,-0.19203876703977585,-0.06092263413593175
code,743,0,1.5,wrong_hook,train,-0.20151817798614502,-0.4114427462220192,-0.004696979990694679
code,743,0,1.5,wrong_hook,holdout,-0.22089023888111115,-0.37656615749001504,-0.07999607976526034
code,4060,0,0.0,target,train,-0.05423593148589134,-0.15500230267643927,0.014142374950461082
code,4060,0,0.0,target,holdout,-0.06380246579647064,-0.14528991542756559,-0.006587303406558933
code,4060,0,0.0,wrong_layer,train,-0.008111516945064068,-0.022271491959691046,0.006871883664280171
code,4060,0,0.0,wrong_layer,holdout,-0.0034870158415287733,-0.03343446077778935,0.027124904375523323
code,4060,0,0.0,wrong_hook,train,0.0,0.0,0.0
code,4060,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
code,4060,0,1.5,target,train,0.019306307658553123,-0.005299667664803565,0.04363960158079861
code,4060,0,1.5,target,holdout,-0.007058834191411734,-0.033947162237018345,0.018740753829479206
code,4060,0,1.5,wrong_layer,train,-0.01926577091217041,-0.048097077012062076,0.011384112131781875
code,4060,0,1.5,wrong_layer,holdout,-0.018324196338653564,-0.04666639817878604,0.011115436302497983
code,4060,0,1.5,wrong_hook,train,0.0,0.0,0.0
code,4060,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
code,5240,0,0.0,target,train,-0.06403448432683945,-0.1874791383743286,0.07129829395562409
code,5240,0,0.0,target,holdout,0.005094930529594421,-0.14340565130114555,0.20747721195220947
code,5240,0,0.0,wrong_layer,train,0.0019259452819824219,-0.005693038459867239,0.01154311466962099
code,5240,0,0.0,wrong_layer,holdout,0.0002148250787286088,-0.0007767677307128906,0.0014619231224060059
code,5240,0,0.0,wrong_hook,train,0.0,0.0,0.0
code,5240,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
code,5240,0,1.5,target,train,0.03557175397872925,-0.02020439230836928,0.09454688094556331
code,5240,0,1.5,target,holdout,-0.018851613625884056,-0.09761092253029346,0.04386360244825482
code,5240,0,1.5,wrong_layer,train,0.0024897903203964233,-0.003326530335471034,0.009619355201721191
code,5240,0,1.5,wrong_layer,holdout,0.0017559528350830078,-0.0021772782783955336,0.007445136550813913
code,5240,0,1.5,wrong_hook,train,0.0,0.0,0.0
code,5240,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
code,8684,0,0.0,target,train,-0.016443610191345215,-0.043689428549259904,0.007140821870416401
code,8684,0,0.0,target,holdout,-0.01741352118551731,-0.035348504409193994,0.0006056215424905491
code,8684,0,0.0,wrong_layer,train,0.05582202970981598,-0.18195380680263043,0.2717249885201453
code,8684,0,0.0,wrong_layer,holdout,-0.025129064917564392,-0.20370615571737288,0.1516005422919987
code,8684,0,0.0,wrong_hook,train,-0.05597478151321411,-0.33652551770210265,0.20411755442619323
code,8684,0,0.0,wrong_hook,holdout,-0.08031105250120163,-0.43883624747395517,0.2631626054644584
code,8684,0,1.5,target,train,0.005912353750318289,-0.012972726370207965,0.025468397373333573
code,8684,0,1.5,target,holdout,-0.0046326518058776855,-0.0201613943092525,0.011209000833332533
code,8684,0,1.5,wrong_layer,train,-0.2779548764228821,-0.5337872818112374,-0.03296142565086491
code,8684,0,1.5,wrong_layer,holdout,-0.14767734706401825,-0.3084049507975578,-0.004865608213003748
code,8684,0,1.5,wrong_hook,train,-0.25210967659950256,-0.7872289746999741,0.2745256207883357
code,8684,0,1.5,wrong_hook,holdout,-0.03693708777427673,-0.4672297418117523,0.41130865290760993
safety,14033,1,0.0,target,train,-0.017597198486328125,-0.05407251613214612,0.01960299350321291
safety,14033,1,0.0,target,holdout,-0.006832142826169729,-0.023063561227172614,0.008365562371909612
safety,14033,1,0.0,wrong_layer,train,0.0,0.0,0.0
safety,14033,1,0.0,wrong_layer,holdout,0.0,0.0,0.0
safety,14033,1,0.0,wrong_hook,train,0.0,0.0,0.0
safety,14033,1,0.0,wrong_hook,holdout,0.0,0.0,0.0
safety,14033,1,1.5,target,train,0.017580410465598106,-0.0032953218382317574,0.051577683538198464
safety,14033,1,1.5,target,holdout,0.012115955352783203,-0.0015475531050469723,0.027709352597594262
safety,14033,1,1.5,wrong_layer,train,0.0,0.0,0.0
safety,14033,1,1.5,wrong_layer,holdout,0.0,0.0,0.0
safety,14033,1,1.5,wrong_hook,train,0.0,0.0,0.0
safety,14033,1,1.5,wrong_hook,holdout,0.0,0.0,0.0
safety,12257,0,0.0,target,train,-0.017949094995856285,-0.05987941473722458,0.015175418858416374
safety,12257,0,0.0,target,holdout,0.003995537757873535,-0.0196388422511518,0.0258258894085884
safety,12257,0,0.0,wrong_layer,train,0.011887331493198872,-0.01682850420475006,0.035938712675124405
safety,12257,0,0.0,wrong_layer,holdout,0.027394255623221397,-0.0033016973990015685,0.05801593614742159
safety,12257,0,0.0,wrong_hook,train,0.0,0.0,0.0
safety,12257,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
safety,12257,0,1.5,target,train,0.008834093809127808,-0.012153139454312623,0.033659461606293906
safety,12257,0,1.5,target,holdout,0.00854867696762085,-0.012665563821792602,0.03224639073014259
safety,12257,0,1.5,wrong_layer,train,0.015424609184265137,-0.009030281798914075,0.041035074181854723
