category,pair_id,feature,is_target,alpha,delta_contrast
safety,p133,14033,1,0.5,-0.125
safety,p134,14033,1,0.5,-0.0625
safety,p135,14033,1,0.5,0.0
safety,p136,14033,1,0.5,-0.125
safety,p137,14033,1,0.5,0.0625
safety,p138,14033,1,0.5,-0.125
safety,p139,14033,1,0.5,-0.28125
safety,p140,14033,1,0.5,0.0
safety,p141,14033,1,0.5,-0.0625
safety,p142,14033,1,0.5,0.0625
safety,p143,14033,1,0.5,0.0
safety,p144,14033,1,0.5,0.0
safety,p145,14033,1,0.5,0.0625
safety,p146,14033,1,0.5,0.0
safety,p147,14033,1,0.5,0.0
safety,p148,14033,1,0.5,0.0625
safety,p149,14033,1,0.5,0.0
safety,p150,14033,1,0.5,0.0
safety,p151,14033,1,0.5,0.125
safety,p152,14033,1,0.5,-0.125
safety,p153,14033,1,0.5,-0.125
safety,p154,14033,1,0.5,-0.09375
safety,p155,14033,1,0.5,0.0
safety,p156,14033,1,0.5,-0.125
safety,p157,14033,1,0.5,-0.0625
safety,p158,14033,1,0.5,0.0
safety,p159,14033,1,0.5,-0.3125
safety,p160,14033,1,0.5,-0.0625
safety,p161,14033,1,0.5,0.0
safety,p162,14033,1,0.5,0.0
safety,p163,14033,1,0.5,-0.0625
safety,p164,14033,1,0.5,0.0
safety,p165,14033,1,0.5,0.0
safety,p166,14033,1,0.5,0.0
safety,p167,14033,1,0.5,0.0
safety,p168,14033,1,0.5,-0.125
safety,p169,14033,1,0.5,0.0
safety,p170,14033,1,0.5,0.0
safety,p171,14033,1,0.5,0.0
safety,p172,14033,1,0.5,0.0
safety,p173,14033,1,0.5,-0.125
safety,p174,14033,1,0.5,0.0
safety,p175,14033,1,0.5,0.0
safety,p176,14033,1,0.5,0.125
safety,p177,14033,1,0.5,0.0
safety,p178,14033,1,0.5,0.0
safety,p179,14033,1,0.5,0.0
safety,p180,14033,1,0.5,0.0625
safety,p181,14033,1,0.5,-0.0625
safety,p182,14033,1,0.5,0.0625
safety,p183,14033,1,0.5,0.0
safety,p184,14033,1,0.5,-0.21875
