alpha,controls_mean_delta_contrast,controls_ci95_lo,controls_ci95_hi,n_pairs
0.0,0.0473291015625,0.032962280273437505,0.0616309814453125,200
0.5,0.02416015625,0.013239990234375,0.03513720703125,200
1.0,0.0,0.0,0.0,200
1.5,-0.023525390625,-0.0352393798828125,-0.012929199218749998,200
2.0,-0.0501513671875,-0.06425390625,-0.035233032226562495,200
