category,pair_id,feature,is_target,alpha,delta_contrast
code,p143,6631,1,0.0,-1.4375
code,p144,6631,1,0.0,-0.2890625
code,p145,6631,1,0.0,-0.3125
code,p146,6631,1,0.0,-0.0625
code,p147,6631,1,0.0,-0.40625
code,p148,6631,1,0.0,-0.15625
code,p149,6631,1,0.0,-0.15625
code,p150,6631,1,0.0,-0.59375
code,p151,6631,1,0.0,0.40625
code,p152,6631,1,0.0,0.0
code,p153,6631,1,0.0,-0.125
code,p154,6631,1,0.0,0.328125
code,p155,6631,1,0.0,0.03125
code,p156,6631,1,0.0,0.1875
code,p157,6631,1,0.0,-0.5
code,p158,6631,1,0.0,-0.03125
code,p159,6631,1,0.0,0.8984375
code,p160,6631,1,0.0,-0.5625
code,p161,6631,1,0.0,-0.125
code,p162,6631,1,0.0,-0.5625
code,p163,6631,1,0.0,0.0625
code,p164,6631,1,0.0,1.296875
code,p165,6631,1,0.0,-0.46875
code,p166,6631,1,0.0,-0.34375
code,p167,6631,1,0.0,-0.09375
code,p168,6631,1,0.0,-0.53125
code,p169,6631,1,0.0,0.078125
code,p170,6631,1,0.0,-0.6875
code,p171,6631,1,0.0,0.453125
code,p172,6631,1,0.0,1.46875
code,p173,6631,1,0.0,-0.5
code,p174,6631,1,0.0,-0.0625
code,p175,6631,1,0.0,2.0625
code,p176,6631,1,0.0,0.53125
code,p177,6631,1,0.0,0.75
code,p178,6631,1,0.0,0.4375
code,p179,6631,1,0.0,-0.765625
code,p180,6631,1,0.0,0.03125
code,p181,6631,1,0.0,-0.375
code,p182,6631,1,0.0,0.28125
code,p183,6631,1,0.0,-0.21875
code,p184,6631,1,0.0,0.578125
code,p185,6631,1,0.0,1.25
code,p186,6631,1,0.0,0.1875
code,p187,6631,1,0.0,0.6875
code,p188,6631,1,0.0,-0.03125
code,p189,6631,1,0.0,0.453125
code,p190,6631,1,0.0,0.015625
code,p191,6631,1,0.0,0.09375
code,p192,6631,1,0.0,0.0
code,p193,6631,1,0.0,-0.25
code,p194,6631,1,0.0,0.046875
code,p195,6631,1,0.0,-0.125
code,p196,6631,1,0.0,-0.71875
code,p197,6631,1,0.0,-0.375
code,p198,6631,1,0.0,-0.09375
code,p199,6631,1,0.0,0.0078125
code,p200,6631,1,0.0,-0.0625
code,p1,6631,1,0.5,0.21875
code,p2,6631,1,0.5,0.3125
code,p3,6631,1,0.5,-0.4375
code,p4,6631,1,0.5,0.078125
code,p5,6631,1,0.5,0.09375
code,p6,6631,1,0.5,0.140625
code,p7,6631,1,0.5,-0.3125
code,p8,6631,1,0.5,-0.375
code,p9,6631,1,0.5,0.15625
code,p10,6631,1,0.5,-0.03125
code,p11,6631,1,0.5,-0.375
code,p12,6631,1,0.5,-0.125
code,p13,6631,1,0.5,0.1875
code,p14,6631,1,0.5,-0.1953125
code,p15,6631,1,0.5,0.0
code,p16,6631,1,0.5,0.0625
code,p17,6631,1,0.5,-0.28125
code,p18,6631,1,0.5,0.09375
code,p19,6631,1,0.5,-0.125
code,p20,6631,1,0.5,-0.28125
code,p21,6631,1,0.5,0.0
code,p22,6631,1,0.5,0.25
code,p23,6631,1,0.5,-0.0625
code,p24,6631,1,0.5,-0.03125
code,p25,6631,1,0.5,-0.125
code,p26,6631,1,0.5,0.1875
code,p27,6631,1,0.5,-0.21875
code,p28,6631,1,0.5,-0.21875
code,p29,6631,1,0.5,-0.25
code,p30,6631,1,0.5,0.15625
code,p31,6631,1,0.5,0.1875
code,p32,6631,1,0.5,-0.0625
code,p33,6631,1,0.5,0.0
code,p34,6631,1,0.5,-0.171875
code,p35,6631,1,0.5,-0.40625
code,p36,6631,1,0.5,-0.1875
code,p37,6631,1,0.5,-0.4375
code,p38,6631,1,0.5,-0.125
code,p39,6631,1,0.5,-0.078125
code,p40,6631,1,0.5,-0.625
code,p41,6631,1,0.5,-0.21875
code,p42,6631,1,0.5,0.0625
code,p43,6631,1,0.5,-0.0625
code,p44,6631,1,0.5,0.09375
code,p45,6631,1,0.5,0.03125
code,p46,6631,1,0.5,0.0
code,p47,6631,1,0.5,-0.25
code,p48,6631,1,0.5,-0.125
code,p49,6631,1,0.5,-0.3125
code,p50,6631,1,0.5,-0.375
code,p51,6631,1,0.5,0.203125
code,p52,6631,1,0.5,-0.03125
code,p53,6631,1,0.5,-0.109375
code,p54,6631,1,0.5,-0.1875
code,p55,6631,1,0.5,0.015625
code,p56,6631,1,0.5,0.109375
code,p57,6631,1,0.5,0.0
code,p58,6631,1,0.5,-0.125
code,p59,6631,1,0.5,-0.1875
code,p60,6631,1,0.5,-0.1875
code,p61,6631,1,0.5,-0.25
code,p62,6631,1,0.5,0.0625
code,p63,6631,1,0.5,0.375
code,p64,6631,1,0.5,-0.15625
code,p65,6631,1,0.5,-0.375
code,p66,6631,1,0.5,0.78125
code,p67,6631,1,0.5,-0.25
code,p68,6631,1,0.5,-0.15625
code,p69,6631,1,0.5,-0.1875
code,p70,6631,1,0.5,0.25
code,p71,6631,1,0.5,-0.0625
code,p72,6631,1,0.5,-0.375
code,p73,6631,1,0.5,0.625
code,p74,6631,1,0.5,-0.125
code,p75,6631,1,0.5,-0.03125
code,p76,6631,1,0.5,-0.46875
code,p77,6631,1,0.5,0.1875
code,p78,6631,1,0.5,-0.3125
code,p79,6631,1,0.5,0.109375
