seed,feature,group,condition,alpha,mean_delta
47,743,control,target,0.0,0.3509361743927002
47,1692,control,target,0.0,-0.06868043541908264
47,3518,control,target,0.0,0.06952261179685593
47,5052,control,target,0.0,-0.1620662659406662
47,6631,target,target,0.5,-0.1893947869539261
47,6631,target,wrong_layer,0.5,-0.05087261274456978
47,6631,target,wrong_hook,0.5,0.0
47,743,control,target,0.5,0.1681416779756546
47,1692,control,target,0.5,-0.05010814964771271
47,3518,control,target,0.5,0.037109870463609695
47,5052,control,target,0.5,-0.07052858173847198
47,6631,target,target,1.0,0.0
47,6631,target,wrong_layer,1.0,0.0
47,6631,target,wrong_hook,1.0,0.0
47,743,control,target,1.0,0.0
47,1692,control,target,1.0,0.0
47,3518,control,target,1.0,0.0
47,5052,control,target,1.0,0.0
47,6631,target,target,1.5,0.028769060969352722
47,6631,target,wrong_layer,1.5,-0.003967513795942068
47,6631,target,wrong_hook,1.5,0.0
47,743,control,target,1.5,-0.14771409332752228
47,1692,control,target,1.5,0.007076139096170664
47,3518,control,target,1.5,-0.05574337765574455
47,5052,control,target,1.5,0.03150646761059761
47,6631,target,target,2.0,0.1212548092007637
47,6631,target,wrong_layer,2.0,-0.011834606528282166
47,6631,target,wrong_hook,2.0,0.0
47,743,control,target,2.0,-0.27094215154647827
47,1692,control,target,2.0,0.027185305953025818
47,3518,control,target,2.0,-0.08766881376504898
47,5052,control,target,2.0,0.0652710422873497
57,6631,target,target,0.0,-0.39622941613197327
57,6631,target,wrong_layer,0.0,-0.07555285841226578
57,6631,target,wrong_hook,0.0,0.0
57,743,control,target,0.0,0.3509361743927002
57,1692,control,target,0.0,-0.06868043541908264
57,3518,control,target,0.0,0.06952261179685593
57,5052,control,target,0.0,-0.1620662659406662
57,6631,target,target,0.5,-0.1893947869539261
57,6631,target,wrong_layer,0.5,-0.05087261274456978
57,6631,target,wrong_hook,0.5,0.0
57,743,control,target,0.5,0.1681416779756546
57,1692,control,target,0.5,-0.05010814964771271
57,3518,control,target,0.5,0.037109870463609695
57,5052,control,target,0.5,-0.07052858173847198
57,6631,target,target,1.0,0.0
57,6631,target,wrong_layer,1.0,0.0
